Reads_in_input,Reads_aligned_all_amplicons,WT,correct_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,WT_perc,corr_perc,byprod_perc,INDEL_perc,corr_perc_backsub,byprod_perc_backsub,INDEL_perc_backsub,WT_perc_backsub
1235,831,3,17,811,628,22,161,0.36101083032490977,2.045728038507822,97.59326113116727,75.57160048134777,2.045728038507822,41.8240303619365,47.686985096732386,56.130241599555674
561,181,0,6,175,29,46,100,0.0,3.314917127071823,96.68508287292818,16.022099447513813,3.314917127071823,53.048719236564544,4.203917629331995,43.63636363636363
177,61,0,11,50,7,38,5,0.0,18.0327868852459,81.9672131147541,11.475409836065573,18.0327868852459,55.30054644808743,10.14207650273224,26.66666666666667
428,214,3,18,193,31,158,4,1.4018691588785046,8.411214953271028,90.18691588785046,14.485981308411215,3.8240589899682753,58.0768241447312,4.39423818914516,38.09911686530053
4068,3948,3042,1,905,147,746,12,77.05167173252279,0.025329280648429583,22.922998986828773,3.723404255319149,0.025329280648429583,6.953741941568314,0.0,93.02092877778325
4540,4500,4096,5,399,57,341,1,91.02222222222223,0.1111111111111111,8.866666666666667,1.2666666666666666,0.016949152542372906,0.0,0.0,99.98305084745763
6983,6536,5274,1,1261,337,911,13,80.69155446756426,0.015299877600979192,19.29314565483476,5.156058751529987,0.015299877600979192,4.98591673917211,0.0,94.99878338322691
24601,24385,21688,118,2579,511,2035,33,88.9399220832479,0.4839040393684642,10.576173877383637,2.095550543366824,0.45437066665730064,1.2436281006559344,0.0,98.30200123268676
30633,30456,27480,28,2948,801,2021,126,90.22852639873916,0.09193590753874442,9.679537693722091,2.6300236406619386,0.06502525091872292,0.395361159814664,0.9884735868406254,99.53961358926661
14331,14202,12668,20,1514,126,1340,48,89.19870440782988,0.1408252358822701,10.660470356287847,0.8871989860583016,0.053565200978256206,0.6691963597782493,0.0,99.27723843924349
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
25,2,0,0,2,1,0,1,0.0,0.0,100.0,50.0,0.0,100.0,50.0,0.0
48,1,0,0,1,1,0,0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
58907,58568,51894,119,6555,1744,4247,564,88.60469881163776,0.20318262532440923,11.192118563037836,2.9777352820652916,0.03951650421147962,0.5701873028087032,0.8337090954859137,99.39029619297982
4091,4083,3810,1,272,38,224,10,93.31373989713445,0.02449179524859172,6.661768307616948,0.9306882194464854,0.02449179524859172,0.0,0.0,99.9755082047514
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
33220,33062,30413,103,2546,749,1665,132,91.98778053354305,0.31153590224426836,7.700683564212691,2.2654406871937574,0.28496842084150537,0.0,0.5385543960141614,99.71503157915849
3089,3066,2322,0,744,237,491,16,75.73385518590997,0.0,24.26614481409002,7.729941291585127,0.0,12.489697708301595,1.4425161418845285,87.51030229169841
4010,3968,3491,0,477,117,359,1,87.9788306451613,0.0,12.02116935483871,2.9485887096774195,0.0,3.3449618414218936,1.6069071354377058,96.65503815857811
7513,7365,6009,5,1351,559,751,41,81.58859470468431,0.06788866259334692,18.343516632722334,7.589952477936184,0.013746810942020515,7.515146302457039,4.12487397225129,92.47110688660094
618,281,0,9,272,184,53,35,0.0,3.202846975088968,96.79715302491103,65.48042704626334,3.202846975088968,70.0644797575843,62.510130016560375,26.73267326732673
161,55,2,3,50,4,46,0,3.6363636363636362,5.454545454545454,90.9090909090909,7.2727272727272725,5.454545454545454,56.48286140089419,2.3546944858420265,38.06259314456036
