pegRNA_idx,total,unaligned,extracted,recombination
604,35.0,4.0,14.0,17.0
605,534.0,54.0,85.0,395.0
606,449.0,52.0,25.0,372.0
607,1062.0,21.0,16.0,1025.0
608,1493.0,79.0,134.0,1280.0
609,890.0,66.0,218.0,606.0
610,141.0,28.0,30.0,83.0
611,1743.0,39.0,1554.0,150.0
612,4153.0,96.0,3211.0,846.0
613,2623.0,119.0,2328.0,176.0
614,101.0,5.0,56.0,40.0
615,50.0,2.0,33.0,15.0
616,103.0,2.0,55.0,46.0
617,858.0,20.0,383.0,455.0
618,107.0,9.0,84.0,14.0
619,490.0,20.0,6.0,464.0
620,583.0,15.0,210.0,358.0
621,403.0,3.0,1.0,399.0
622,253.0,3.0,90.0,160.0
623,562.0,13.0,55.0,494.0
624,338.0,5.0,37.0,296.0
625,758.0,172.0,232.0,354.0
626,1745.0,123.0,162.0,1460.0
627,0.0,0.0,0.0,0.0
628,0.0,0.0,0.0,0.0
629,0.0,0.0,0.0,0.0
630,1368.0,54.0,55.0,1259.0
631,683.0,7.0,124.0,552.0
632,635.0,11.0,182.0,442.0
633,532.0,4.0,13.0,515.0
634,304.0,6.0,9.0,289.0
635,169.0,4.0,0.0,165.0
636,241.0,2.0,33.0,206.0
637,261.0,16.0,3.0,242.0
638,2136.0,36.0,326.0,1774.0
639,192.0,5.0,31.0,156.0
640,1304.0,99.0,326.0,879.0
641,712.0,6.0,40.0,666.0
642,4613.0,148.0,4090.0,375.0
643,4061.0,103.0,3531.0,427.0
644,2811.0,72.0,2621.0,118.0
645,544.0,88.0,78.0,378.0
646,605.0,12.0,150.0,443.0
647,483.0,29.0,27.0,427.0
648,3067.0,100.0,964.0,2003.0
649,16.0,0.0,15.0,1.0
650,46.0,9.0,12.0,25.0
651,312.0,6.0,22.0,284.0
652,15.0,2.0,0.0,13.0
653,38.0,0.0,3.0,35.0
654,104.0,2.0,4.0,98.0
655,72.0,3.0,18.0,51.0
656,221.0,0.0,0.0,221.0
657,300.0,1.0,9.0,290.0
658,290.0,7.0,12.0,271.0
659,100.0,0.0,0.0,100.0
660,68.0,0.0,4.0,64.0
661,54.0,0.0,4.0,50.0
662,502.0,44.0,84.0,374.0
663,589.0,36.0,0.0,553.0
664,1293.0,12.0,247.0,1034.0
665,610.0,24.0,104.0,482.0
666,738.0,39.0,330.0,369.0
667,3669.0,137.0,2311.0,1221.0
668,476.0,20.0,309.0,147.0
669,227.0,1.0,1.0,225.0
670,548.0,35.0,9.0,504.0
671,603.0,10.0,38.0,555.0
672,1418.0,22.0,357.0,1039.0
673,595.0,16.0,251.0,328.0
674,161.0,4.0,9.0,148.0
675,170.0,52.0,76.0,42.0
676,927.0,112.0,531.0,284.0
677,390.0,33.0,250.0,107.0
678,165.0,22.0,66.0,77.0
679,0.0,0.0,0.0,0.0
680,418.0,196.0,16.0,206.0
681,194.0,5.0,8.0,181.0
682,12004.0,315.0,11069.0,620.0
683,307.0,5.0,289.0,13.0
684,574.0,36.0,94.0,444.0
685,3.0,0.0,1.0,2.0
686,735.0,36.0,481.0,218.0
687,200.0,6.0,8.0,186.0
688,71.0,1.0,69.0,1.0
689,3641.0,126.0,3019.0,496.0
690,618.0,22.0,169.0,427.0
691,237.0,9.0,220.0,8.0
692,17208.0,377.0,15968.0,863.0
693,946.0,26.0,641.0,279.0
694,11759.0,322.0,10973.0,464.0
695,6169.0,279.0,5443.0,447.0
696,9670.0,204.0,8820.0,646.0
697,2060.0,38.0,1829.0,193.0
698,0.0,0.0,0.0,0.0
699,2874.0,52.0,2635.0,187.0
700,3718.0,83.0,3511.0,124.0
701,2340.0,146.0,2014.0,180.0
702,3471.0,76.0,2986.0,409.0
703,20.0,0.0,12.0,8.0
704,66.0,6.0,10.0,50.0
705,736.0,11.0,7.0,718.0
706,33.0,6.0,2.0,25.0
707,76.0,1.0,0.0,75.0
708,118.0,1.0,1.0,116.0
709,183.0,12.0,21.0,150.0
710,161.0,0.0,0.0,161.0
711,352.0,10.0,47.0,295.0
712,363.0,32.0,108.0,223.0
713,49.0,2.0,3.0,44.0
714,97.0,2.0,0.0,95.0
