pegRNA_idx,total,unaligned,extracted,recombination
303,2.0,0.0,2.0,0.0
304,21.0,0.0,20.0,1.0
305,201.0,3.0,12.0,186.0
306,7.0,0.0,7.0,0.0
307,0.0,0.0,0.0,0.0
308,23.0,9.0,5.0,9.0
309,9.0,1.0,6.0,2.0
310,11.0,0.0,7.0,4.0
311,3.0,0.0,2.0,1.0
312,0.0,0.0,0.0,0.0
313,20.0,0.0,18.0,2.0
314,1.0,0.0,0.0,1.0
315,254.0,7.0,57.0,190.0
316,28.0,3.0,20.0,5.0
317,273.0,7.0,181.0,85.0
318,14.0,1.0,9.0,4.0
319,3.0,0.0,2.0,1.0
320,6.0,0.0,4.0,2.0
321,0.0,0.0,0.0,0.0
322,53.0,1.0,46.0,6.0
323,15.0,1.0,14.0,0.0
324,39.0,1.0,36.0,2.0
325,416.0,10.0,148.0,258.0
326,0.0,0.0,0.0,0.0
327,304.0,6.0,39.0,259.0
328,4.0,0.0,0.0,4.0
329,242.0,3.0,51.0,188.0
330,2.0,1.0,0.0,1.0
331,210.0,5.0,40.0,165.0
332,1.0,1.0,0.0,0.0
333,819.0,17.0,75.0,727.0
334,3.0,3.0,0.0,0.0
335,2.0,0.0,2.0,0.0
336,17.0,1.0,15.0,1.0
337,73.0,2.0,71.0,0.0
338,1.0,0.0,1.0,0.0
339,31.0,9.0,18.0,4.0
340,70.0,4.0,48.0,18.0
341,6.0,0.0,6.0,0.0
342,222.0,10.0,195.0,17.0
343,0.0,0.0,0.0,0.0
344,0.0,0.0,0.0,0.0
345,582.0,12.0,3.0,567.0
346,330.0,4.0,36.0,290.0
347,45.0,2.0,0.0,43.0
348,11.0,0.0,10.0,1.0
349,0.0,0.0,0.0,0.0
350,11.0,0.0,7.0,4.0
351,0.0,0.0,0.0,0.0
352,4.0,0.0,3.0,1.0
353,1.0,0.0,0.0,1.0
354,2.0,0.0,2.0,0.0
355,0.0,0.0,0.0,0.0
356,2.0,0.0,2.0,0.0
357,0.0,0.0,0.0,0.0
358,4.0,0.0,3.0,1.0
359,0.0,0.0,0.0,0.0
360,0.0,0.0,0.0,0.0
361,5.0,0.0,5.0,0.0
362,13.0,0.0,9.0,4.0
363,163.0,2.0,0.0,161.0
364,1148.0,29.0,7.0,1112.0
365,18.0,0.0,0.0,18.0
366,51.0,0.0,48.0,3.0
367,1.0,0.0,1.0,0.0
368,0.0,0.0,0.0,0.0
369,3.0,0.0,1.0,2.0
370,81.0,1.0,1.0,79.0
371,0.0,0.0,0.0,0.0
372,686.0,5.0,159.0,522.0
373,17.0,2.0,14.0,1.0
374,17.0,4.0,13.0,0.0
375,4.0,0.0,4.0,0.0
376,3.0,0.0,3.0,0.0
377,17.0,5.0,10.0,2.0
378,122.0,14.0,105.0,3.0
379,2198.0,169.0,2017.0,12.0
380,176.0,14.0,160.0,2.0
381,302.0,23.0,278.0,1.0
382,7706.0,1326.0,6050.0,330.0
383,30.0,2.0,28.0,0.0
384,559.0,27.0,529.0,3.0
385,1980.0,92.0,1828.0,60.0
386,129.0,10.0,119.0,0.0
387,11868.0,928.0,10705.0,235.0
388,4.0,1.0,3.0,0.0
389,0.0,0.0,0.0,0.0
390,29.0,4.0,24.0,1.0
391,299.0,3.0,30.0,266.0
392,0.0,0.0,0.0,0.0
393,43.0,3.0,38.0,2.0
394,0.0,0.0,0.0,0.0
395,0.0,0.0,0.0,0.0
396,1.0,0.0,0.0,1.0
397,17.0,0.0,6.0,11.0
398,0.0,0.0,0.0,0.0
399,1.0,0.0,0.0,1.0
400,46.0,1.0,0.0,45.0
401,0.0,0.0,0.0,0.0
402,44.0,0.0,42.0,2.0
403,3.0,0.0,3.0,0.0
404,0.0,0.0,0.0,0.0
405,416.0,6.0,5.0,405.0
406,11.0,1.0,2.0,8.0
407,12.0,2.0,7.0,3.0
408,3.0,0.0,1.0,2.0
409,32.0,2.0,23.0,7.0
410,230.0,1.0,6.0,223.0
411,116.0,12.0,73.0,31.0
412,5.0,0.0,0.0,5.0
413,1.0,0.0,1.0,0.0
414,20.0,0.0,1.0,19.0
415,15.0,0.0,1.0,14.0
416,0.0,0.0,0.0,0.0
417,1.0,0.0,0.0,1.0
418,659.0,13.0,613.0,33.0
419,2015.0,54.0,1691.0,270.0
420,1348.0,11.0,1313.0,24.0
421,263.0,11.0,243.0,9.0
422,83.0,5.0,76.0,2.0
423,1098.0,56.0,1012.0,30.0
424,3940.0,81.0,676.0,3183.0
425,1138.0,48.0,239.0,851.0
426,298.0,58.0,191.0,49.0
427,2271.0,40.0,1634.0,597.0
428,763.0,13.0,723.0,27.0
429,10.0,0.0,9.0,1.0
430,1.0,1.0,0.0,0.0
431,287.0,4.0,270.0,13.0
432,2.0,0.0,1.0,1.0
433,5409.0,78.0,5206.0,125.0
434,1834.0,22.0,1748.0,64.0
435,3978.0,46.0,3193.0,739.0
436,53.0,0.0,52.0,1.0
437,63.0,5.0,58.0,0.0
438,3.0,0.0,0.0,3.0
439,29.0,2.0,24.0,3.0
440,397.0,293.0,67.0,37.0
441,4852.0,79.0,98.0,4675.0
442,191.0,15.0,168.0,8.0
443,34.0,2.0,14.0,18.0
444,0.0,0.0,0.0,0.0
445,0.0,0.0,0.0,0.0
446,0.0,0.0,0.0,0.0
447,631.0,10.0,11.0,610.0
448,98.0,3.0,81.0,14.0
449,0.0,0.0,0.0,0.0
450,77.0,1.0,0.0,76.0
451,7.0,0.0,6.0,1.0
452,0.0,0.0,0.0,0.0
453,441.0,25.0,342.0,74.0
454,2778.0,40.0,1594.0,1144.0
455,1787.0,27.0,1389.0,371.0
456,929.0,24.0,872.0,33.0
457,5364.0,369.0,4913.0,82.0
458,14082.0,392.0,13451.0,239.0
459,1634.0,12.0,1612.0,10.0
460,5.0,0.0,5.0,0.0
461,1.0,0.0,0.0,1.0
462,16961.0,335.0,16420.0,206.0
463,2345.0,45.0,1976.0,324.0
464,1833.0,30.0,1735.0,68.0
465,881.0,12.0,810.0,59.0
466,915.0,812.0,85.0,18.0
467,1805.0,1207.0,514.0,84.0
468,4315.0,4129.0,56.0,130.0
469,6785.0,6343.0,134.0,308.0
470,1081.0,559.0,179.0,343.0
471,714.0,678.0,20.0,16.0
472,0.0,0.0,0.0,0.0
473,164.0,2.0,158.0,4.0
474,328.0,16.0,302.0,10.0
475,1137.0,667.0,417.0,53.0
476,5658.0,5138.0,194.0,326.0
477,2.0,1.0,0.0,1.0
478,566.0,280.0,256.0,30.0
479,0.0,0.0,0.0,0.0
480,1.0,0.0,0.0,1.0
481,1647.0,36.0,1565.0,46.0
482,1.0,0.0,1.0,0.0
483,3.0,0.0,3.0,0.0
484,4585.0,3841.0,215.0,529.0
485,1075.0,668.0,352.0,55.0
486,10.0,0.0,5.0,5.0
487,1.0,0.0,1.0,0.0
488,703.0,421.0,221.0,61.0
489,736.0,21.0,692.0,23.0
